Producent,Typer,Koder,KodeBeskrivelser,Fejl,Prioritering,Løsningsforslag,Varenumer prioritet 1,Varenummer prioritet 2,Varenummer prioritet 3,KodeBeskrivelser (service),Fejl (service),Spørgsmål 1,Spørgsmål 2,Spørgsmål 3,Kunden kan prøve,Send tekniker ja / nej,URL-links,URL-links_Kundeserviceinformationer,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
Thermoplan,BW3 CBTM,Sprøjter ved foam. Ingen yderligere information.,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Der kommer for meget luft ind i systemet,1.0,Juster luftskrue (3.0 - 4.0 gennemsnitligt),,,,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Ingen yderligere information.,,,Kunden kan efterse om filteret i mælkesuget (køleskabet) er helt rent.,,,https://bentax.sharepoint.com/:b:/g/ETPraeZAS0hDuD_Q8XW1JFYBcSzA7Gp41u9wRlq3lYYlcg?e=7BVpl4,,,,,,,,,
Thermoplan,BW3 CBTM,Sprøjter ved foam. Ingen yderligere information.,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Der kommer for meget luft ind i systemet,2.0,"Kontrollér, om mælkesugeslangen er blokeret. Inspektion af hele slangen og filteret i mælkesuget er nødvendigt.",,,,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Ingen yderligere information.,,,Kunden kan efterse om filteret i mælkesuget (køleskabet) er helt rent.,,,https://bentax.sharepoint.com/:b:/g/ETPraeZAS0hDuD_Q8XW1JFYBcSzA7Gp41u9wRlq3lYYlcg?e=7BVpl4,,,,,,,,,
Thermoplan,BW3 CBTM,Sprøjter ved foam. Ingen yderligere information.,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Der kommer for meget luft ind i systemet,3.0,"Efterse om ventiler på siden af maskinen er tilstoppet, samt om mælketilkobling (118493)  i udløbshovede har rester af mælk i sig.",118493,,,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Ingen yderligere information.,,,Kunden kan efterse om filteret i mælkesuget (køleskabet) er helt rent.,,,https://bentax.sharepoint.com/:b:/g/ETPraeZAS0hDuD_Q8XW1JFYBcSzA7Gp41u9wRlq3lYYlcg?e=7BVpl4,,,,,,,,,
Thermoplan,BW3 CBTM,Sprøjter ved foam. Ingen yderligere information.,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Der kommer for meget luft ind i systemet,4.0,Efterse ventil (116375) og mælkeslange i køleskab (Mælkeslange / sug kan være rykket skævt i ventil eller ventil kan være blokeret),116375,,,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Ingen yderligere information.,,,Kunden kan efterse om filteret i mælkesuget (køleskabet) er helt rent.,,,https://bentax.sharepoint.com/:b:/g/ETPraeZAS0hDuD_Q8XW1JFYBcSzA7Gp41u9wRlq3lYYlcg?e=7BVpl4,,,,,,,,,
Thermoplan,BW3 CBTM,Sprøjter ved foam. Ingen yderligere information.,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Der kommer for meget luft ind i systemet,5.0,"Efterse andenæb (131232) i mælkepumpe, samt om ""luft""-stempel (100430) i mælkepumpe lukker korrekt",131232,100430.0,,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Ingen yderligere information.,,,Kunden kan efterse om filteret i mælkesuget (køleskabet) er helt rent.,,,https://bentax.sharepoint.com/:b:/g/ETPraeZAS0hDuD_Q8XW1JFYBcSzA7Gp41u9wRlq3lYYlcg?e=7BVpl4,,,,,,,,,
Thermoplan,BW3 CBTM,Sprøjter ved foam. Alle mælkeprodukter.,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Der kommer for meget luft ind i systemet,1.0,Juster luftskrue (3.0 - 4.0 gennemsnitligt),,,,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Er det alle mælkeprodukter?,,,Kunden kan efterse om filteret i mælkesuget (køleskabet) er helt rent.,,,https://bentax.sharepoint.com/:b:/g/ETPraeZAS0hDuD_Q8XW1JFYBcSzA7Gp41u9wRlq3lYYlcg?e=7BVpl4,,,,,,,,,
Thermoplan,BW3 CBTM,Sprøjter ved foam. Alle mælkeprodukter.,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Der kommer for meget luft ind i systemet,2.0,"Kontrollér, om mælkesugeslangen er blokeret. Inspektion af hele slangen og filteret i mælkesuget er nødvendigt.",,,,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Er det alle mælkeprodukter?,,,Kunden kan efterse om filteret i mælkesuget (køleskabet) er helt rent.,,,https://bentax.sharepoint.com/:b:/g/ETPraeZAS0hDuD_Q8XW1JFYBcSzA7Gp41u9wRlq3lYYlcg?e=7BVpl4,,,,,,,,,
Thermoplan,BW3 CBTM,Sprøjter ved foam. Alle mælkeprodukter.,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Der kommer for meget luft ind i systemet,3.0,"Efterse om ventiler på siden af maskinen er tilstoppet, samt om mælketilkobling (118493)  i udløbshovede har rester af mælk i sig.",118493,,,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Er det alle mælkeprodukter?,,,Kunden kan efterse om filteret i mælkesuget (køleskabet) er helt rent.,,,https://bentax.sharepoint.com/:b:/g/ETPraeZAS0hDuD_Q8XW1JFYBcSzA7Gp41u9wRlq3lYYlcg?e=7BVpl4,,,,,,,,,
Thermoplan,BW3 CBTM,Sprøjter ved foam. Alle mælkeprodukter.,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Der kommer for meget luft ind i systemet,4.0,Efterse ventil (116375) og mælkeslange i køleskab (Mælkeslange / sug kan være rykket skævt i ventil eller ventil kan være blokeret),116375,,,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Er det alle mælkeprodukter?,,,Kunden kan efterse om filteret i mælkesuget (køleskabet) er helt rent.,,,https://bentax.sharepoint.com/:b:/g/ETPraeZAS0hDuD_Q8XW1JFYBcSzA7Gp41u9wRlq3lYYlcg?e=7BVpl4,,,,,,,,,
Thermoplan,BW3 CBTM,Sprøjter ved foam. Alle mælkeprodukter.,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Der kommer for meget luft ind i systemet,5.0,"Efterse andenæb (131232) i mælkepumpe, samt om ""luft""-stempel (100430) i mælkepumpe lukker korrekt",131232,100430.0,,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Er det alle mælkeprodukter?,,,Kunden kan efterse om filteret i mælkesuget (køleskabet) er helt rent.,,,https://bentax.sharepoint.com/:b:/g/ETPraeZAS0hDuD_Q8XW1JFYBcSzA7Gp41u9wRlq3lYYlcg?e=7BVpl4,,,,,,,,,
Thermoplan,BW3 CBTM,Sprøjter ved foam. Latte-produktet.,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Der kommer for meget luft ind i systemet,1.0,Juster luftskrue (3.0 - 4.0 gennemsnitligt),,,,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Er det Latte-produktet?,,,Kunden kan efterse om filteret i mælkesuget (køleskabet) er helt rent.,,,https://bentax.sharepoint.com/:b:/g/ETPraeZAS0hDuD_Q8XW1JFYBcSzA7Gp41u9wRlq3lYYlcg?e=7BVpl4,,,,,,,,,
Thermoplan,BW3 CBTM,Sprøjter ved foam. Latte-produktet.,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Der kommer for meget luft ind i systemet,2.0,"Kontrollér, om mælkesugeslangen er blokeret. Inspektion af hele slangen og filteret i mælkesuget er nødvendigt.",,,,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Er det Latte-produktet?,,,Kunden kan efterse om filteret i mælkesuget (køleskabet) er helt rent.,,,https://bentax.sharepoint.com/:b:/g/ETPraeZAS0hDuD_Q8XW1JFYBcSzA7Gp41u9wRlq3lYYlcg?e=7BVpl4,,,,,,,,,
Thermoplan,BW3 CBTM,Sprøjter ved foam. Latte-produktet.,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Der kommer for meget luft ind i systemet,3.0,"Efterse om ventiler på siden af maskinen er tilstoppet, samt om mælketilkobling (118493)  i udløbshovede har rester af mælk i sig.",118493,,,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Er det Latte-produktet?,,,Kunden kan efterse om filteret i mælkesuget (køleskabet) er helt rent.,,,https://bentax.sharepoint.com/:b:/g/ETPraeZAS0hDuD_Q8XW1JFYBcSzA7Gp41u9wRlq3lYYlcg?e=7BVpl4,,,,,,,,,
Thermoplan,BW3 CBTM,Sprøjter ved foam. Latte-produktet.,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Der kommer for meget luft ind i systemet,4.0,Efterse ventil (116375) og mælkeslange i køleskab (Mælkeslange / sug kan være rykket skævt i ventil eller ventil kan være blokeret),116375,,,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Er det Latte-produktet?,,,Kunden kan efterse om filteret i mælkesuget (køleskabet) er helt rent.,,,https://bentax.sharepoint.com/:b:/g/ETPraeZAS0hDuD_Q8XW1JFYBcSzA7Gp41u9wRlq3lYYlcg?e=7BVpl4,,,,,,,,,
Thermoplan,BW3 CBTM,Sprøjter ved foam. Latte-produktet.,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Der kommer for meget luft ind i systemet,5.0,"Efterse andenæb (131232) i mælkepumpe, samt om ""luft""-stempel (100430) i mælkepumpe lukker korrekt",131232,100430.0,,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Er det Latte-produktet?,,,Kunden kan efterse om filteret i mælkesuget (køleskabet) er helt rent.,,,https://bentax.sharepoint.com/:b:/g/ETPraeZAS0hDuD_Q8XW1JFYBcSzA7Gp41u9wRlq3lYYlcg?e=7BVpl4,,,,,,,,,
Thermoplan,BW3 CBTM,Sprøjter ved foam. Cappuccino-produktet,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Der kommer for meget luft ind i systemet,1.0,Juster luftskrue (3.0 - 4.0 gennemsnitligt),,,,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Er det Cappuccino-produktet?,,,Kunden kan efterse om filteret i mælkesuget (køleskabet) er helt rent.,,,https://bentax.sharepoint.com/:b:/g/ETPraeZAS0hDuD_Q8XW1JFYBcSzA7Gp41u9wRlq3lYYlcg?e=7BVpl4,,,,,,,,,
Thermoplan,BW3 CBTM,Sprøjter ved foam. Cappuccino-produktet,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Der kommer for meget luft ind i systemet,2.0,"Kontrollér, om mælkesugeslangen er blokeret. Inspektion af hele slangen og filteret i mælkesuget er nødvendigt.",,,,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Er det Cappuccino-produktet?,,,Kunden kan efterse om filteret i mælkesuget (køleskabet) er helt rent.,,,https://bentax.sharepoint.com/:b:/g/ETPraeZAS0hDuD_Q8XW1JFYBcSzA7Gp41u9wRlq3lYYlcg?e=7BVpl4,,,,,,,,,
Thermoplan,BW3 CBTM,Sprøjter ved foam. Cappuccino-produktet,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Der kommer for meget luft ind i systemet,3.0,"Efterse om ventiler på siden af maskinen er tilstoppet, samt om mælketilkobling (118493)  i udløbshovede har rester af mælk i sig.",118493,,,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Er det Cappuccino-produktet?,,,Kunden kan efterse om filteret i mælkesuget (køleskabet) er helt rent.,,,https://bentax.sharepoint.com/:b:/g/ETPraeZAS0hDuD_Q8XW1JFYBcSzA7Gp41u9wRlq3lYYlcg?e=7BVpl4,,,,,,,,,
Thermoplan,BW3 CBTM,Sprøjter ved foam. Cappuccino-produktet,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Der kommer for meget luft ind i systemet,4.0,Efterse ventil (116375) og mælkeslange i køleskab (Mælkeslange / sug kan være rykket skævt i ventil eller ventil kan være blokeret),116375,,,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Er det Cappuccino-produktet?,,,Kunden kan efterse om filteret i mælkesuget (køleskabet) er helt rent.,,,https://bentax.sharepoint.com/:b:/g/ETPraeZAS0hDuD_Q8XW1JFYBcSzA7Gp41u9wRlq3lYYlcg?e=7BVpl4,,,,,,,,,
Thermoplan,BW3 CBTM,Sprøjter ved foam. Cappuccino-produktet,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Der kommer for meget luft ind i systemet,5.0,"Efterse andenæb (131232) i mælkepumpe, samt om ""luft""-stempel (100430) i mælkepumpe lukker korrekt",131232,100430.0,,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Sprøjter ved foam / Sprøjter ved skum ved mælkedrikke,Er det Cappuccino-produktet?,,,Kunden kan efterse om filteret i mælkesuget (køleskabet) er helt rent.,,,https://bentax.sharepoint.com/:b:/g/ETPraeZAS0hDuD_Q8XW1JFYBcSzA7Gp41u9wRlq3lYYlcg?e=7BVpl4,,,,,,,,,
Thermoplan,BW3 CBTM,Ingen foam. Ingen yderligere information.,Ingen foam / Ingen skum ved mælkedrikke,Der kommer for meget luft ind i systemet / mælkesystem delvist blokeret,1.0,Juster luftskrue (3.0 - 4.0 gennemsnitligt),,,,Ingen foam / Ingen skum ved mælkedrikke,Ingen foam / Ingen skum ved mælkedrikke,Ingen yderligere information.,,,Kunden kan efterse om filteret i mælkesuget (køleskabet) er helt rent.,,,https://bentax.sharepoint.com/:b:/g/ETPraeZAS0hDuD_Q8XW1JFYBcSzA7Gp41u9wRlq3lYYlcg?e=7BVpl4,,,,,,,,,
Thermoplan,BW3 CBTM,Ingen foam. Ingen yderligere information.,Ingen foam / Ingen skum ved mælkedrikke,Der kommer for meget luft ind i systemet / mælkesystem delvist blokeret,2.0,"Kontrollér, om mælkesugeslangen er blokeret. Inspektion af hele slangen og filteret i mælkesuget er nødvendigt.",,,,Ingen foam / Ingen skum ved mælkedrikke,Ingen foam / Ingen skum ved mælkedrikke,Ingen yderligere information.,,,Kunden kan efterse om filteret i mælkesuget (køleskabet) er helt rent.,,,https://bentax.sharepoint.com/:b:/g/ETPraeZAS0hDuD_Q8XW1JFYBcSzA7Gp41u9wRlq3lYYlcg?e=7BVpl4,,,,,,,,,
Thermoplan,BW3 CBTM,Ingen foam. Ingen yderligere information.,Ingen foam / Ingen skum ved mælkedrikke,Der kommer for meget luft ind i systemet / mælkesystem delvist blokeret,3.0,"Efterse om ventiler på siden af maskinen er tilstoppet, samt om mælketilkobling (118493)  i udløbshovede har rester af mælk i sig.",118493,,,Ingen foam / Ingen skum ved mælkedrikke,Ingen foam / Ingen skum ved mælkedrikke,Ingen yderligere information.,,,Kunden kan efterse om filteret i mælkesuget (køleskabet) er helt rent.,,,https://bentax.sharepoint.com/:b:/g/ETPraeZAS0hDuD_Q8XW1JFYBcSzA7Gp41u9wRlq3lYYlcg?e=7BVpl4,,,,,,,,,
Thermoplan,BW3 CBTM,Ingen foam. Ingen yderligere information.,Ingen foam / Ingen skum ved mælkedrikke,Der kommer for meget luft ind i systemet / mælkesystem delvist blokeret,4.0,Efterse ventil (116375) og mælkeslange i køleskab (Mælkeslange / sug kan være rykket skævt i ventil eller ventil kan være blokeret),116375,,,Ingen foam / Ingen skum ved mælkedrikke,Ingen foam / Ingen skum ved mælkedrikke,Ingen yderligere information.,,,Kunden kan efterse om filteret i mælkesuget (køleskabet) er helt rent.,,,https://bentax.sharepoint.com/:b:/g/ETPraeZAS0hDuD_Q8XW1JFYBcSzA7Gp41u9wRlq3lYYlcg?e=7BVpl4,,,,,,,,,
Thermoplan,BW3 CBTM,Ingen foam. Ingen yderligere information.,Ingen foam / Ingen skum ved mælkedrikke,Der kommer for meget luft ind i systemet / mælkesystem delvist blokeret,5.0,"Efterse andenæb (131232) i mælkepumpe, samt om ""luft""-stempel (100430) i mælkepumpe lukker korrekt",131232,100430.0,,Ingen foam / Ingen skum ved mælkedrikke,Ingen foam / Ingen skum ved mælkedrikke,Ingen yderligere information.,,,Kunden kan efterse om filteret i mælkesuget (køleskabet) er helt rent.,,,https://bentax.sharepoint.com/:b:/g/ETPraeZAS0hDuD_Q8XW1JFYBcSzA7Gp41u9wRlq3lYYlcg?e=7BVpl4,,,,,,,,,
Thermoplan,BW3 CBTM,Ingen foam. Alle mælkeprodukter.,Ingen foam / Ingen skum ved mælkedrikke,Der kommer for meget luft ind i systemet / mælkesystem delvist blokeret,1.0,Juster luftskrue (3.0 - 4.0 gennemsnitligt),,,,Ingen foam / Ingen skum ved mælkedrikke,Ingen foam / Ingen skum ved mælkedrikke,Er det alle mælkeprodukter?,,,Kunden kan efterse om filteret i mælkesuget (køleskabet) er helt rent.,,,https://bentax.sharepoint.com/:b:/g/ETPraeZAS0hDuD_Q8XW1JFYBcSzA7Gp41u9wRlq3lYYlcg?e=7BVpl4,,,,,,,,,
Thermoplan,BW3 CBTM,Ingen foam. Alle mælkeprodukter.,Ingen foam / Ingen skum ved mælkedrikke,Der kommer for meget luft ind i systemet / mælkesystem delvist blokeret,2.0,"Kontrollér, om mælkesugeslangen er blokeret. Inspektion af hele slangen og filteret i mælkesuget er nødvendigt.",,,,Ingen foam / Ingen skum ved mælkedrikke,Ingen foam / Ingen skum ved mælkedrikke,Er det alle mælkeprodukter?,,,Kunden kan efterse om filteret i mælkesuget (køleskabet) er helt rent.,,,https://bentax.sharepoint.com/:b:/g/ETPraeZAS0hDuD_Q8XW1JFYBcSzA7Gp41u9wRlq3lYYlcg?e=7BVpl4,,,,,,,,,
Thermoplan,BW3 CBTM,Ingen foam. Alle mælkeprodukter.,Ingen foam / Ingen skum ved mælkedrikke,Der kommer for meget luft ind i systemet / mælkesystem delvist blokeret,3.0,"Efterse om ventiler på siden af maskinen er tilstoppet, samt om mælketilkobling (118493)  i udløbshovede har rester af mælk i sig.",118493,,,Ingen foam / Ingen skum ved mælkedrikke,Ingen foam / Ingen skum ved mælkedrikke,Er det alle mælkeprodukter?,,,Kunden kan efterse om filteret i mælkesuget (køleskabet) er helt rent.,,,https://bentax.sharepoint.com/:b:/g/ETPraeZAS0hDuD_Q8XW1JFYBcSzA7Gp41u9wRlq3lYYlcg?e=7BVpl4,,,,,,,,,
Thermoplan,BW3 CBTM,Ingen foam. Alle mælkeprodukter.,Ingen foam / Ingen skum ved mælkedrikke,Der kommer for meget luft ind i systemet / mælkesystem delvist blokeret,4.0,Efterse ventil (116375) og mælkeslange i køleskab (Mælkeslange / sug kan være rykket skævt i ventil eller ventil kan være blokeret),116375,,,Ingen foam / Ingen skum ved mælkedrikke,Ingen foam / Ingen skum ved mælkedrikke,Er det alle mælkeprodukter?,,,Kunden kan efterse om filteret i mælkesuget (køleskabet) er helt rent.,,,https://bentax.sharepoint.com/:b:/g/ETPraeZAS0hDuD_Q8XW1JFYBcSzA7Gp41u9wRlq3lYYlcg?e=7BVpl4,,,,,,,,,
Thermoplan,BW3 CBTM,Ingen foam. Alle mælkeprodukter.,Ingen foam / Ingen skum ved mælkedrikke,Der kommer for meget luft ind i systemet / mælkesystem delvist blokeret,5.0,"Efterse andenæb (131232) i mælkepumpe, samt om ""luft""-stempel (100430) i mælkepumpe lukker korrekt",131232,100430.0,,Ingen foam / Ingen skum ved mælkedrikke,Ingen foam / Ingen skum ved mælkedrikke,Er det alle mælkeprodukter?,,,Kunden kan efterse om filteret i mælkesuget (køleskabet) er helt rent.,,,https://bentax.sharepoint.com/:b:/g/ETPraeZAS0hDuD_Q8XW1JFYBcSzA7Gp41u9wRlq3lYYlcg?e=7BVpl4,,,,,,,,,
Thermoplan,BW3 CBTM,Ingen foam. Latte-produktet.,Ingen foam / Ingen skum ved mælkedrikke,Der kommer for meget luft ind i systemet / mælkesystem delvist blokeret,1.0,Juster luftskrue (3.0 - 4.0 gennemsnitligt),,,,Ingen foam / Ingen skum ved mælkedrikke,Ingen foam / Ingen skum ved mælkedrikke,Er det Latte-produktet?,,,Kunden kan efterse om filteret i mælkesuget (køleskabet) er helt rent.,,,https://bentax.sharepoint.com/:b:/g/ETPraeZAS0hDuD_Q8XW1JFYBcSzA7Gp41u9wRlq3lYYlcg?e=7BVpl4,,,,,,,,,
Thermoplan,BW3 CBTM,Ingen foam. Latte-produktet.,Ingen foam / Ingen skum ved mælkedrikke,Der kommer for meget luft ind i systemet / mælkesystem delvist blokeret,2.0,"Kontrollér, om mælkesugeslangen er blokeret. Inspektion af hele slangen og filteret i mælkesuget er nødvendigt.",,,,Ingen foam / Ingen skum ved mælkedrikke,Ingen foam / Ingen skum ved mælkedrikke,Er det Latte-produktet?,,,Kunden kan efterse om filteret i mælkesuget (køleskabet) er helt rent.,,,https://bentax.sharepoint.com/:b:/g/ETPraeZAS0hDuD_Q8XW1JFYBcSzA7Gp41u9wRlq3lYYlcg?e=7BVpl4,,,,,,,,,
Thermoplan,BW3 CBTM,Ingen foam. Latte-produktet.,Ingen foam / Ingen skum ved mælkedrikke,Der kommer for meget luft ind i systemet / mælkesystem delvist blokeret,3.0,"Efterse om ventiler på siden af maskinen er tilstoppet, samt om mælketilkobling (118493)  i udløbshovede har rester af mælk i sig.",118493,,,Ingen foam / Ingen skum ved mælkedrikke,Ingen foam / Ingen skum ved mælkedrikke,Er det Latte-produktet?,,,Kunden kan efterse om filteret i mælkesuget (køleskabet) er helt rent.,,,https://bentax.sharepoint.com/:b:/g/ETPraeZAS0hDuD_Q8XW1JFYBcSzA7Gp41u9wRlq3lYYlcg?e=7BVpl4,,,,,,,,,
Thermoplan,BW3 CBTM,Ingen foam. Latte-produktet.,Ingen foam / Ingen skum ved mælkedrikke,Der kommer for meget luft ind i systemet / mælkesystem delvist blokeret,4.0,Efterse ventil (116375) og mælkeslange i køleskab (Mælkeslange / sug kan være rykket skævt i ventil eller ventil kan være blokeret),116375,,,Ingen foam / Ingen skum ved mælkedrikke,Ingen foam / Ingen skum ved mælkedrikke,Er det Latte-produktet?,,,Kunden kan efterse om filteret i mælkesuget (køleskabet) er helt rent.,,,https://bentax.sharepoint.com/:b:/g/ETPraeZAS0hDuD_Q8XW1JFYBcSzA7Gp41u9wRlq3lYYlcg?e=7BVpl4,,,,,,,,,
Thermoplan,BW3 CBTM,Ingen foam. Latte-produktet.,Ingen foam / Ingen skum ved mælkedrikke,Der kommer for meget luft ind i systemet / mælkesystem delvist blokeret,5.0,"Efterse andenæb (131232) i mælkepumpe, samt om ""luft""-stempel (100430) i mælkepumpe lukker korrekt",131232,100430.0,,Ingen foam / Ingen skum ved mælkedrikke,Ingen foam / Ingen skum ved mælkedrikke,Er det Latte-produktet?,,,Kunden kan efterse om filteret i mælkesuget (køleskabet) er helt rent.,,,https://bentax.sharepoint.com/:b:/g/ETPraeZAS0hDuD_Q8XW1JFYBcSzA7Gp41u9wRlq3lYYlcg?e=7BVpl4,,,,,,,,,
Thermoplan,BW3 CBTM,Ingen foam. Cappuccino-produktet.,Ingen foam / Ingen skum ved mælkedrikke,Der kommer for meget luft ind i systemet / mælkesystem delvist blokeret,1.0,Juster luftskrue (3.0 - 4.0 gennemsnitligt),,,,Ingen foam / Ingen skum ved mælkedrikke,Ingen foam / Ingen skum ved mælkedrikke,Er det Cappuccino-produktet?,,,Kunden kan efterse om filteret i mælkesuget (køleskabet) er helt rent.,,,https://bentax.sharepoint.com/:b:/g/ETPraeZAS0hDuD_Q8XW1JFYBcSzA7Gp41u9wRlq3lYYlcg?e=7BVpl4,,,,,,,,,
Thermoplan,BW3 CBTM,Ingen foam. Cappuccino-produktet.,Ingen foam / Ingen skum ved mælkedrikke,Der kommer for meget luft ind i systemet / mælkesystem delvist blokeret,2.0,"Kontrollér, om mælkesugeslangen er blokeret. Inspektion af hele slangen og filteret i mælkesuget er nødvendigt.",,,,Ingen foam / Ingen skum ved mælkedrikke,Ingen foam / Ingen skum ved mælkedrikke,Er det Cappuccino-produktet?,,,Kunden kan efterse om filteret i mælkesuget (køleskabet) er helt rent.,,,https://bentax.sharepoint.com/:b:/g/ETPraeZAS0hDuD_Q8XW1JFYBcSzA7Gp41u9wRlq3lYYlcg?e=7BVpl4,,,,,,,,,
Thermoplan,BW3 CBTM,Ingen foam. Cappuccino-produktet.,Ingen foam / Ingen skum ved mælkedrikke,Der kommer for meget luft ind i systemet / mælkesystem delvist blokeret,3.0,"Efterse om ventiler på siden af maskinen er tilstoppet, samt om mælketilkobling (118493)  i udløbshovede har rester af mælk i sig.",118493,,,Ingen foam / Ingen skum ved mælkedrikke,Ingen foam / Ingen skum ved mælkedrikke,Er det Cappuccino-produktet?,,,Kunden kan efterse om filteret i mælkesuget (køleskabet) er helt rent.,,,https://bentax.sharepoint.com/:b:/g/ETPraeZAS0hDuD_Q8XW1JFYBcSzA7Gp41u9wRlq3lYYlcg?e=7BVpl4,,,,,,,,,
Thermoplan,BW3 CBTM,Ingen foam. Cappuccino-produktet.,Ingen foam / Ingen skum ved mælkedrikke,Der kommer for meget luft ind i systemet / mælkesystem delvist blokeret,4.0,Efterse ventil (116375) og mælkeslange i køleskab (Mælkeslange / sug kan være rykket skævt i ventil eller ventil kan være blokeret),116375,,,Ingen foam / Ingen skum ved mælkedrikke,Ingen foam / Ingen skum ved mælkedrikke,Er det Cappuccino-produktet?,,,Kunden kan efterse om filteret i mælkesuget (køleskabet) er helt rent.,,,https://bentax.sharepoint.com/:b:/g/ETPraeZAS0hDuD_Q8XW1JFYBcSzA7Gp41u9wRlq3lYYlcg?e=7BVpl4,,,,,,,,,
Thermoplan,BW3 CBTM,Ingen foam. Cappuccino-produktet.,Ingen foam / Ingen skum ved mælkedrikke,Der kommer for meget luft ind i systemet / mælkesystem delvist blokeret,5.0,"Efterse andenæb (131232) i mælkepumpe, samt om ""luft""-stempel (100430) i mælkepumpe lukker korrekt",131232,100430.0,,Ingen foam / Ingen skum ved mælkedrikke,Ingen foam / Ingen skum ved mælkedrikke,Er det Cappuccino-produktet?,,,Kunden kan efterse om filteret i mælkesuget (køleskabet) er helt rent.,,,https://bentax.sharepoint.com/:b:/g/ETPraeZAS0hDuD_Q8XW1JFYBcSzA7Gp41u9wRlq3lYYlcg?e=7BVpl4,,,,,,,,,
